NC,Other,pvalue
North Carolina,Alabama,3.849569970518019e-70
North Carolina,Alaska,5.651020449348026e-146
North Carolina,Arizona,8.676673697187214e-12
North Carolina,Arkansas,4.699015951435264e-103
North Carolina,California,1.844910486052185e-122
North Carolina,Colorado,2.2384563479890725e-21
North Carolina,Connecticut,1.4137699693723878e-51
North Carolina,Delaware,1.0353458832735337e-139
North Carolina,District of Columbia,2.218020321433158e-143
North Carolina,Florida,1.1981697326596932e-59
North Carolina,Georgia,0.019447364007203188
North Carolina,Hawaii,8.946042692506441e-122
North Carolina,Idaho,3.07015625673802e-131
North Carolina,Illinois,2.111649365784926e-08
North Carolina,Indiana,1.1283560190001152e-29
North Carolina,Iowa,1.9576543181489319e-87
North Carolina,Kansas,2.8983684224177354e-98
North Carolina,Kentucky,4.457352402671208e-66
North Carolina,Louisiana,5.97696590294291e-72
North Carolina,Maine,3.5792329947265156e-125
North Carolina,Maryland,6.599648019499419e-13
North Carolina,Massachusetts,0.00026855960263445224
North Carolina,Michigan,0.07249877999046536
North Carolina,Minnesota,1.6249724524298646e-23
North Carolina,Mississippi,3.404837050643334e-109
North Carolina,Missouri,1.2333033343121747e-36
North Carolina,Montana,9.176045179183804e-142
North Carolina,Nebraska,3.6685779055839344e-121
North Carolina,Nevada,1.8547050991261976e-93
North Carolina,New Hampshire,7.843993152848672e-127
North Carolina,New Jersey,0.9190062928207061
North Carolina,New Mexico,2.1654245165299785e-105
North Carolina,New York State,3.298748951037384e-59
North Carolina,North Dakota,9.916221985688146e-145
North Carolina,Ohio,0.8357396186923207
North Carolina,Oklahoma,5.17206052162104e-77
North Carolina,Oregon,7.654668281410544e-49
North Carolina,Pennsylvania,8.553568334440955e-09
North Carolina,Rhode Island,8.412789422270006e-135
North Carolina,South Carolina,1.7565357119714637e-52
North Carolina,South Dakota,2.76229934555553e-143
North Carolina,Tennessee,2.6653449974237817e-26
North Carolina,Texas,9.71018746899932e-91
North Carolina,Utah,1.5731424941165985e-86
North Carolina,Vermont,5.474979825045959e-143
North Carolina,Virginia,0.8462682655737237
North Carolina,Washington,0.0006520029320039644
North Carolina,West Virginia,5.630034383508313e-120
North Carolina,Wisconsin,4.920956551338067e-25
North Carolina,Wyoming,3.6553537024749974e-147
