Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
4872,206,0,9015,3711,26169,4873,5995,1065,0,788,21673,10958,3,122,289,1436,17978,9468,3898,2892,2623,7488,352,5942,12423,13018,5382,4816,5747,961,1668,3143,759,19160,2502,37973,6748,1316,2,13766,2489,1477,16245,1521,1944,5296,1488,6955,28359,1269,136,23,5081,3461,1361,5254,438
16455,978,0,24354,9180,76515,10271,9160,2286,0,1211,62504,31443,3,270,1094,4162,30254,19037,7858,7006,12118,14986,1531,11758,20273,29020,10656,10450,16227,2906,3338,8419,1961,29053,5855,59585,19426,2057,14,31965,12419,5655,36714,3308,3066,14636,2486,20787,75744,3787,471,89,15587,9853,5336,11173,1526
4872,215,0,9061,3729,26446,4912,6099,1072,0,792,21890,10960,3,122,289,1448,18217,9562,3946,2893,2698,7488,358,5967,12502,13306,5436,4840,5751,971,1669,3148,769,19187,2534,38093,6892,1317,2,13919,2527,1492,16273,1526,1957,5385,1501,6970,28442,1294,139,23,5117,3461,1373,5256,438
16455,978,0,24355,9196,76518,10271,9160,2286,0,1211,62504,31443,3,270,1094,4162,30254,19037,7858,7006,12118,14986,1531,11870,20273,29020,10656,10450,16233,2906,3338,8419,1961,29056,5855,59682,19426,2057,17,32078,12419,5655,36715,3310,3066,14636,2486,20808,75744,3787,471,89,15587,9853,5336,11173,1526
4873,215,0,9061,3749,26517,4934,6099,1080,0,794,21987,10964,3,122,289,1448,18322,9625,3946,2893,2723,7537,359,5994,12610,13306,5489,4871,5770,972,1672,3180,780,19208,2551,38239,6910,1317,2,14053,2547,1500,16331,1545,1974,5469,1513,7025,28496,1301,140,23,5124,3459,1376,5261,438
16455,979,0,24355,9221,76535,10293,9210,2286,0,1218,62504,31443,3,273,1094,4169,30431,19084,7858,7049,12234,15001,1531,11896,20315,29343,10704,10455,16237,2908,3338,8427,1973,29073,5866,59760,19457,2057,17,32235,12503,5666,36799,3314,3066,14636,2494,20858,75967,3804,480,89,15615,9853,5356,11185,1526
4878,218,0,9064,3800,26784,4944,6168,1085,0,797,22090,10971,3,122,289,1459,18412,9735,3992,2911,2749,7585,361,6027,12671,13391,5502,4884,5772,975,1682,3206,781,19225,2574,38417,6941,1319,2,14216,2552,1506,16432,1555,1992,5484,1513,7168,28570,1305,144,24,5132,3482,1396,5269,438
16496,979,0,24509,9248,76629,10335,9274,2286,0,1220,62541,31494,3,273,1094,4188,30510,19256,7858,7049,12255,15018,1556,11944,20410,29343,10740,10492,16406,2911,3344,8467,2004,29151,5897,59865,19494,2060,18,32392,12512,5710,36968,3318,3096,14674,2498,20904,76031,3811,480,89,15622,9909,5361,11246,1572
4886,218,0,9317,3836,27197,4991,6192,1093,0,801,22188,11072,3,123,289,1471,18562,9800,3999,3006,2772,7635,369,6082,12734,13608,5520,4975,5987,1005,1692,3235,792,19382,2594,38563,6996,1336,2,14352,2571,1550,16631,1562,2005,5498,1513,7267,28808,1312,149,24,5191,3541,1442,5366,464
16503,979,0,24570,9256,76755,10354,9281,2286,0,1222,62541,31521,3,273,1094,4192,30589,19296,8019,7064,12284,15027,1582,11993,20464,29659,10811,10503,16447,2912,3344,8487,2013,29209,5933,60023,19542,2068,18,32554,12539,5719,37111,3324,3107,14715,2507,20941,76132,3855,482,89,15631,9909,5372,11319,1572
