Province_State,Confirmed,Deaths,Recovered,People_Hospitalized,date,Mortality
Arizona,530267,9015,76934,0,1/1/2021,0.017000869
Arizona,1389708,24354,0,0,1/1/2022,0.017524545
Arizona,539150,9061,77867,0,1/2/2021,0.016806084
Arizona,1390409,24355,0,0,1/2/2022,0.017516429
Arizona,556384,9061,78690,0,1/3/2021,0.016285515
Arizona,1404601,24355,0,0,1/3/2022,0.017339444
Arizona,561542,9064,79480,0,1/4/2021,0.016141268
Arizona,1411813,24509,0,0,1/4/2022,0.017359948
Arizona,567474,9317,80302,0,1/5/2021,0.016418373
Arizona,1419562,24570,0,0,1/5/2022,0.017308156
Arizona,574680,9444,81214,0,1/6/2021,0.016433493
Arizona,1430241,24586,0,0,1/6/2022,0.01719011
Arizona,584593,9741,82155,0,1/7/2021,0.016662875
Arizona,1445129,24616,0,0,1/7/2022,0.017033773
Arizona,596251,9938,83095,0,1/8/2021,0.016667477
Arizona,1461633,24704,0,0,1/8/2022,0.016901644
Arizona,607345,10036,84029,0,1/9/2021,0.016524381
Arizona,1477483,24773,0,0,1/9/2022,0.016767029
Arizona,618546,10141,85004,0,1/10/2021,0.0163949
Arizona,1491420,24773,0,0,1/10/2022,0.016610345
Arizona,627541,10147,85912,0,1/11/2021,0.016169461
Arizona,1505580,24986,0,0,1/11/2022,0.016595598
Arizona,636100,10482,86757,0,1/12/2021,0.016478541
Arizona,1524363,24992,0,0,1/12/2022,0.016395045
Arizona,641729,10673,87672,0,1/13/2021,0.016631631
Arizona,1542936,25002,0,0,1/13/2022,0.016204172
Arizona,649040,10855,88666,0,1/14/2021,0.016724701
Arizona,1563193,25068,0,0,1/14/2022,0.016036408
Arizona,658186,11040,89665,0,1/15/2021,0.016773374
Arizona,1563193,25068,0,0,1/15/2022,0.016036408
Arizona,666901,11248,90640,0,1/16/2021,0.016866072
Arizona,1567192,25171,0,0,1/16/2022,0.01606121
Arizona,673882,11266,91604,0,1/17/2021,0.01671806
Arizona,1621858,25212,0,0,1/17/2022,0.015545134
Arizona,679282,11265,92463,0,1/18/2021,0.016583687
Arizona,1645694,25395,0,0,1/18/2022,0.01543118
Arizona,685699,11266,93289,0,1/19/2021,0.01642995
Arizona,1666191,25416,0,0,1/19/2022,0.015253953
Arizona,690544,11528,94237,0,1/20/2021,0.016694085
Arizona,1683915,25429,0,0,1/20/2022,0.015101119
Arizona,699942,11772,95230,0,1/21/2021,0.016818536
Arizona,1701949,25502,0,0,1/21/2022,0.014983998
Arizona,708041,12001,96193,0,1/22/2021,0.016949583
Arizona,1729630,25557,0,0,1/22/2022,0.014775993
Arizona,715357,12170,97062,0,1/23/2021,0.017012485
Arizona,1752552,25623,0,0,1/23/2022,0.014620394
Arizona,722574,12238,97960,0,1/24/2021,0.016936674
Arizona,1767302,25624,0,0,1/24/2022,0.014498937
Arizona,727895,12239,98779,0,1/25/2021,0.016814238
Arizona,1781274,25624,0,0,1/25/2022,0.01438521
Arizona,732643,12448,99529,0,1/26/2021,0.01699054
Arizona,1799503,25899,0,0,1/26/2022,0.014392307
Arizona,738561,12643,100281,0,1/27/2021,0.017118424
Arizona,1813796,25932,0,0,1/27/2022,0.014297087
Arizona,743232,12819,101104,0,1/28/2021,0.017247643
Arizona,1829406,26001,0,0,1/28/2022,0.01421281
Arizona,748260,13022,101891,0,1/29/2021,0.017403042
Arizona,1844912,26183,0,0,1/29/2022,0.014192005
Arizona,753379,13098,102678,0,1/30/2021,0.017385672
Arizona,1858385,26206,0,0,1/30/2022,0.014101491
Arizona,758404,13120,103439,0,1/31/2021,0.017299487
Arizona,1870644,26205,0,0,1/31/2022,0.014008545
Arizona,762145,13124,104102,0,2/1/2021,0.01721982
Arizona,1878211,26345,0,0,2/1/2022,0.014026646
Arizona,765083,13362,104681,0,2/2/2021,0.017464772
Arizona,1886541,26369,0,0,2/2/2022,0.013977433
Arizona,767379,13576,105379,0,2/3/2021,0.017691388
Arizona,1894335,26430,0,0,2/3/2022,0.013952126
Arizona,771796,13752,106058,0,2/4/2021,0.01781818
Arizona,1903412,26530,0,0,2/4/2022,0.013938128
Arizona,775622,13948,106698,0,2/5/2021,0.017982987
Arizona,1911655,26628,0,0,2/5/2022,0.013929292
Arizona,779093,14011,107304,0,2/6/2021,0.017983732
Arizona,1918034,26639,0,0,2/6/2022,0.013888701
Arizona,780637,14048,107979,0,2/7/2021,0.01799556
Arizona,1922450,26639,0,0,2/7/2022,0.013856797
Arizona,782887,14055,108495,0,2/8/2021,0.017952782
Arizona,1926240,26822,0,0,2/8/2022,0.013924537
Arizona,787268,14286,108965,0,2/9/2021,0.018146298
Arizona,1931642,26856,0,0,2/9/2022,0.013903197
Arizona,789245,14462,109543,0,2/10/2021,0.018323841
Arizona,1931642,26856,0,0,2/10/2022,0.013903197
Arizona,791106,14662,110104,0,2/11/2021,0.018533547
Arizona,1941802,27073,0,0,2/11/2022,0.013942204
Arizona,793532,14834,110642,0,2/12/2021,0.018693638
Arizona,1946086,27164,0,0,2/12/2022,0.013958273
Arizona,795323,14948,111173,0,2/13/2021,0.01879488
Arizona,1950483,27180,0,0,2/13/2022,0.01393501
Arizona,797270,14978,111649,0,2/14/2021,0.018786609
Arizona,1953168,27181,0,0,2/14/2022,0.013916366
Arizona,798608,14978,112062,0,2/15/2021,0.018755134
