Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
202137,7165,0,76934,199247,0,18102,9800,18851,0,20941,0,0,0,7047,11958,58649,0,345474,241229,4612,36740,263712,11374,9358,261672,318389,397080,167263,397080,74991,107694,0,37350,56109,66638,102968,403488,89314,29,556106,255843,5870,429017,66930,5381,151084,91980,508914,1435164,224439,4959,1901,30964,0,60316,450358,42570
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202137,7165,0,77867,203701,0,18217,9800,18851,0,21002,0,0,0,7047,11958,58649,0,347401,243214,4612,37273,263712,11438,9374,261672,363611,398199,167263,0,75974,109705,0,37947,56575,67573,103828,403488,89582,29,573641,259841,5870,453531,68340,5381,152535,92595,523089,1443061,230287,5188,1901,31182,0,61120,452502,43037
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202137,7165,0,78690,203701,0,18305,9800,18851,0,21072,0,0,0,7047,11958,60164,0,348425,244021,4612,37375,263712,11465,9378,261672,363611,403419,167263,0,76501,105963,0,39574,56873,68876,104402,403488,89879,29,579583,265293,5870,453531,68661,5381,154943,93031,526966,1451846,232355,5272,1920,31368,0,62264,454850,43068
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202137,7165,0,79480,207898,0,18403,9800,18851,0,21127,0,0,0,7089,11958,60820,0,351569,244677,4643,37455,263712,11548,9383,261672,363611,405556,182103,0,76633,112856,0,40347,57168,69903,104939,487090,90013,29,585091,267573,5870,465567,69699,5636,156090,93099,530494,1464746,234298,5361,1920,31561,0,63128,456529,43420
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202137,7165,0,80302,210617,0,18534,9800,18851,0,21337,0,0,0,7132,11958,61493,0,354859,247853,4643,37502,263712,11582,9388,261672,363611,406667,182103,0,77449,114249,0,40720,57439,70737,105379,487090,90281,29,596221,271693,5870,471740,70374,5682,157106,93529,539207,1488189,236196,5463,1938,31735,0,64404,458650,43563
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211684,7165,0,81214,210617,0,18534,9800,18851,0,21461,0,0,0,7145,11958,62215,0,357442,249919,4745,37821,280373,11607,9391,261672,363611,406910,182103,0,78114,114249,0,41237,57888,72089,105379,487090,90511,29,605474,274657,5870,485206,70374,5743,158273,93778,548838,1504643,239203,5546,1955,32101,0,65571,461729,43642
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211684,7165,0,82155,215980,0,18775,9800,18851,0,21660,0,0,0,7145,11958,63097,0,360087,251659,4745,38173,280373,11658,9404,293522,363611,408510,182103,0,78796,116295,0,41804,58335,74235,107243,487090,90726,29,613418,277828,5870,499022,70374,5794,159700,94513,555634,1522105,242361,5657,1955,32368,0,66881,464443,43949
