NC,Other,pvalue
North Carolina,Alabama,0.0
North Carolina,Alaska,0.0
North Carolina,Arizona,0.0
North Carolina,Arkansas,0.0
North Carolina,California,0.0
North Carolina,Colorado,0.0
North Carolina,Connecticut,0.0
North Carolina,Delaware,0.0
North Carolina,District of Columbia,0.0
North Carolina,Florida,0.0
North Carolina,Georgia,0.0194
North Carolina,Hawaii,0.0
North Carolina,Idaho,0.0
North Carolina,Illinois,0.0
North Carolina,Indiana,0.0
North Carolina,Iowa,0.0
North Carolina,Kansas,0.0
North Carolina,Kentucky,0.0
North Carolina,Louisiana,0.0
North Carolina,Maine,0.0
North Carolina,Maryland,0.0
North Carolina,Massachusetts,0.0003
North Carolina,Michigan,0.0725
North Carolina,Minnesota,0.0
North Carolina,Mississippi,0.0
North Carolina,Missouri,0.0
North Carolina,Montana,0.0
North Carolina,Nebraska,0.0
North Carolina,Nevada,0.0
North Carolina,New Hampshire,0.0
North Carolina,New Jersey,0.919
North Carolina,New Mexico,0.0
North Carolina,New York State,0.0
North Carolina,North Dakota,0.0
North Carolina,Ohio,0.8357
North Carolina,Oklahoma,0.0
North Carolina,Oregon,0.0
North Carolina,Pennsylvania,0.0
North Carolina,Rhode Island,0.0
North Carolina,South Carolina,0.0
North Carolina,South Dakota,0.0
North Carolina,Tennessee,0.0
North Carolina,Texas,0.0
North Carolina,Utah,0.0
North Carolina,Vermont,0.0
North Carolina,Virginia,0.8463
North Carolina,Washington,0.0007
North Carolina,West Virginia,0.0
North Carolina,Wisconsin,0.0
North Carolina,Wyoming,0.0
