Province_State,Confirmed,Deaths,Recovered,People_Hospitalized,date,Mortality
Arizona,530267,9015,76934,0,1/1/2021,0.017000869
Arkansas,229442,3711,199247,0,1/1/2021,0.016174022
California,2435655,26169,0,0,1/1/2021,0.010744132
Colorado,337161,4873,18102,0,1/1/2021,0.014453036
Connecticut,185708,5995,9800,0,1/1/2021,0.032281862
Delaware,58064,1065,18851,0,1/1/2021,0.01834183
District of Columbia,29252,788,20941,0,1/1/2021,0.026938329
Florida,1323315,21673,0,0,1/1/2021,0.016377809
Georgia,677589,10958,0,0,1/1/2021,0.016172045
Hawaii,22397,289,11958,0,1/1/2021,0.012903514
Idaho,141077,1436,58649,0,1/1/2021,0.010178839
Illinois,963389,17978,0,0,1/1/2021,0.018661205
Indiana,517773,9468,345474,0,1/1/2021,0.018286006
Iowa,282980,3898,241229,0,1/1/2021,0.013774825
Kansas,230108,2892,4612,0,1/1/2021,0.012568012
Kentucky,265261,2623,36740,0,1/1/2021,0.009888374
Louisiana,315275,7488,263712,0,1/1/2021,0.023750694
Maine,24902,352,11374,0,1/1/2021,0.014135411
Maryland,280219,5942,9358,0,1/1/2021,0.021204843
Massachusetts,375178,12423,261672,0,1/1/2021,0.033112283
Michigan,528621,13018,318389,0,1/1/2021,0.024626339
Minnesota,415302,5382,397080,0,1/1/2021,0.012959244
Mississippi,218386,4816,167263,0,1/1/2021,0.022052696
Missouri,445019,5747,397080,0,1/1/2021,0.012914055
Montana,81555,961,74991,0,1/1/2021,0.011783459
Nebraska,167716,1668,107694,0,1/1/2021,0.009945384
Nevada,227046,3143,0,0,1/1/2021,0.01384301
New Hampshire,45932,759,37350,0,1/1/2021,0.016524427
New Jersey,535043,19160,56109,0,1/1/2021,0.035810206
New Mexico,144142,2502,66638,0,1/1/2021,0.017357883
New York,995816,37973,102968,0,1/1/2021,0.038132547
North Carolina,539545,6748,403488,0,1/1/2021,0.012506834
North Dakota,92770,1316,89314,0,1/1/2021,0.01418562
Ohio,700380,13766,556106,0,1/1/2021,0.019655044
Oklahoma,291209,2489,255843,0,1/1/2021,0.008547126
Oregon,113909,1477,5870,0,1/1/2021,0.012966491
Pennsylvania,657071,16245,429017,0,1/1/2021,0.024723356
Rhode Island,87949,1944,5381,0,1/1/2021,0.022103719
South Carolina,307507,5296,151084,0,1/1/2021,0.017222372
South Dakota,99164,1488,91980,0,1/1/2021,0.015005446
Tennessee,592327,6955,508914,0,1/1/2021,0.011741825
Texas,1819793,28359,1435164,0,1/1/2021,0.015583641
Utah,276612,1269,224439,0,1/1/2021,0.004587653
Vermont,7412,136,4959,0,1/1/2021,0.018348624
Virginia,354766,5081,30964,0,1/1/2021,0.014322117
Washington,246752,3461,0,0,1/1/2021,0.014026229
West Virginia,87820,1361,60316,0,1/1/2021,0.015497609
Wisconsin,522523,5254,450358,0,1/1/2021,0.01005506
Wyoming,44409,438,42570,0,1/1/2021,0.009862866
Alabama,896614,16455,0,0,1/1/2022,0.018352379
Alaska,157169,978,0,0,1/1/2022,0.006222601
Arizona,1389708,24354,0,0,1/1/2022,0.017524545
Arkansas,570641,9180,0,0,1/1/2022,0.016087172
California,5521130,76515,0,0,1/1/2022,0.013858576
Colorado,929275,10271,0,0,1/1/2022,0.011052702
Connecticut,510188,9160,0,0,1/1/2022,0.017954166
Delaware,183880,2286,0,0,1/1/2022,0.012432021
District of Columbia,94286,1211,0,0,1/1/2022,0.0128439
Florida,4209927,62504,0,0,1/1/2022,0.014846813
Georgia,1839879,31443,0,0,1/1/2022,0.017089711
Hawaii,115642,1094,0,0,1/1/2022,0.009460231
Idaho,319382,4162,0,0,1/1/2022,0.013031417
Illinois,2149548,30254,0,0,1/1/2022,0.014074587
Indiana,1246854,19037,0,0,1/1/2022,0.015268027
Iowa,575501,7858,0,0,1/1/2022,0.01365419
Kansas,520388,7006,0,0,1/1/2022,0.013463031
Kentucky,856145,12118,0,0,1/1/2022,0.014154144
Louisiana,828695,14986,0,0,1/1/2022,0.018083855
Maine,146736,1531,0,0,1/1/2022,0.010433704
Maryland,735723,11758,0,0,1/1/2022,0.015981558
Massachusetts,1140614,20273,0,0,1/1/2022,0.01777376
Michigan,1710325,29020,0,0,1/1/2022,0.016967535
Minnesota,1022212,10656,0,0,1/1/2022,0.010424452
