Province_State,Confirmed,Deaths,Recovered,People_Hospitalized,date,Mortality
Alabama,365747,4872,202137.0,0.0,2021-01-01,0.013320683423240656
Alaska,47019,206,7165.0,0.0,2021-01-01,0.004381207596928901
American Samoa,0,0,0.0,0.0,2021-01-01,0.0
Arizona,530267,9015,76934.0,0.0,2021-01-01,0.017000869373353423
Arkansas,229442,3711,199247.0,0.0,2021-01-01,0.016174022192972516
California,2435655,26169,0.0,0.0,2021-01-01,0.010744132481817006
Colorado,337161,4873,18102.0,0.0,2021-01-01,0.014453035790023164
Connecticut,185708,5995,9800.0,0.0,2021-01-01,0.032281861847631765
Delaware,58064,1065,18851.0,0.0,2021-01-01,0.018341829705152933
Diamond Princess,49,0,0.0,0.0,2021-01-01,0.0
District of Columbia,29252,788,20941.0,0.0,2021-01-01,0.026938329003145085
Florida,1323315,21673,0.0,0.0,2021-01-01,0.016377808760574767
Georgia,677589,10958,0.0,0.0,2021-01-01,0.016172045295894708
Grand Princess,103,3,0.0,0.0,2021-01-01,0.02912621359223301
Guam,7326,122,7047.0,0.0,2021-01-01,0.016653016653016654
Hawaii,22397,289,11958.0,0.0,2021-01-01,0.012903513863463856
Idaho,141077,1436,58649.0,0.0,2021-01-01,0.01017883850663113
Illinois,963389,17978,0.0,0.0,2021-01-01,0.018661205390553555
Indiana,517773,9468,345474.0,0.0,2021-01-01,0.018286005643399713
Iowa,282980,3898,241229.0,0.0,2021-01-01,0.0137748250759771
Kansas,230108,2892,4612.0,0.0,2021-01-01,0.012568011542406174
Kentucky,265261,2623,36740.0,0.0,2021-01-01,0.009888374091932097
Louisiana,315275,7488,263712.0,0.0,2021-01-01,0.023750693838712235
Maine,24902,352,11374.0,0.0,2021-01-01,0.014135410810376677
Maryland,280219,5942,9358.0,0.0,2021-01-01,0.02120484335466189
Massachusetts,375178,12423,261672.0,0.0,2021-01-01,0.03311228270314358
Michigan,528621,13018,318389.0,0.0,2021-01-01,0.024626339097387352
Minnesota,415302,5382,397080.0,0.0,2021-01-01,0.012959244116329803
Mississippi,218386,4816,167263.0,0.0,2021-01-01,0.022052695685620873
Missouri,445019,5747,397080.0,0.0,2021-01-01,0.012914055354939901
Montana,81555,961,74991.0,0.0,2021-01-01,0.011783459015388388
Nebraska,167716,1668,107694.0,0.0,2021-01-01,0.009945383863197309
Nevada,227046,3143,0.0,0.0,2021-01-01,0.013843009786563075
New Hampshire,45932,759,37350.0,0.0,2021-01-01,0.016524427414438735
New Jersey,535043,19160,56109.0,0.0,2021-01-01,0.03581020590868397
New Mexico,144142,2502,66638.0,0.0,2021-01-01,0.01735788319851258
New York,995816,37973,102968.0,0.0,2021-01-01,0.03813254657486925
North Carolina,539545,6748,403488.0,0.0,2021-01-01,0.012506834462371072
North Dakota,92770,1316,89314.0,0.0,2021-01-01,0.014185620351406705
Northern Mariana Islands,122,2,29.0,0.0,2021-01-01,0.01639344262295082
Ohio,700380,13766,556106.0,0.0,2021-01-01,0.019655044404466148
Oklahoma,291209,2489,255843.0,0.0,2021-01-01,0.008547125947343661
Oregon,113909,1477,5870.0,0.0,2021-01-01,0.012966490795283954
Pennsylvania,657071,16245,429017.0,0.0,2021-01-01,0.024723355619103566
Puerto Rico,77054,1521,66930.0,0.0,2021-01-01,0.01973940353518312
Rhode Island,87949,1944,5381.0,0.0,2021-01-01,0.022103719200900523
South Carolina,307507,5296,151084.0,0.0,2021-01-01,0.017222372173641576
South Dakota,99164,1488,91980.0,0.0,2021-01-01,0.015005445524585536
Tennessee,592327,6955,508914.0,0.0,2021-01-01,0.011741825039209761
Texas,1819793,28359,1435164.0,0.0,2021-01-01,0.015583640556920485
Utah,276612,1269,224439.0,0.0,2021-01-01,0.004587653464057958
Vermont,7412,136,4959.0,0.0,2021-01-01,0.01834862385321101
Virgin Islands,2036,23,1901.0,0.0,2021-01-01,0.011296660117878193
Virginia,354766,5081,30964.0,0.0,2021-01-01,0.014322116550063985
Washington,246752,3461,0.0,0.0,2021-01-01,0.014026228764103229
West Virginia,87820,1361,60316.0,0.0,2021-01-01,0.015497608745160556
Wisconsin,522523,5254,450358.0,0.0,2021-01-01,0.010055059777272963
Wyoming,44409,438,42570.0,0.0,2021-01-01,0.009862865635344187
Alabama,896614,16455,0.0,0.0,2022-01-01,0.018352379061669793
Alaska,157169,978,0.0,0.0,2022-01-01,0.006222601149081562
American Samoa,10,0,0.0,0.0,2022-01-01,0.0
Arizona,1389708,24354,0.0,0.0,2022-01-01,0.017524544724503276
Arkansas,570641,9180,0.0,0.0,2022-01-01,0.01608717214500886
California,5521130,76515,0.0,0.0,2022-01-01,0.013858576052366092
Colorado,929275,10271,0.0,0.0,2022-01-01,0.011052702375507789
Connecticut,510188,9160,0.0,0.0,2022-01-01,0.017954165915309652
Delaware,183880,2286,0.0,0.0,2022-01-01,0.012432020883184685
Diamond Princess,49,0,0.0,0.0,2022-01-01,0.0
District of Columbia,94286,1211,0.0,0.0,2022-01-01,0.01284390047302887
Florida,4209927,62504,0.0,0.0,2022-01-01,0.014846813258282151
Georgia,1839879,31443,0.0,0.0,2022-01-01,0.01708971079076396
Grand Princess,103,3,0.0,0.0,2022-01-01,0.02912621359223301
Guam,19618,270,0.0,0.0,2022-01-01,0.013762870832908553
Hawaii,115642,1094,0.0,0.0,2022-01-01,0.009460230712025043
Idaho,319382,4162,0.0,0.0,2022-01-01,0.013031416923934348
Illinois,2149548,30254,0.0,0.0,2022-01-01,0.014074586843373583
Indiana,1246854,19037,0.0,0.0,2022-01-01,0.015268026569269538
Iowa,575501,7858,0.0,0.0,2022-01-01,0.01365419000140747
Kansas,520388,7006,0.0,0.0,2022-01-01,0.013463031430394245
Kentucky,856145,12118,0.0,0.0,2022-01-01,0.014154144449830344
Louisiana,828695,14986,0.0,0.0,2022-01-01,0.018083854735457556
Maine,146736,1531,0.0,0.0,2022-01-01,0.010433704067168247
Maryland,735723,11758,0.0,0.0,2022-01-01,0.015981558276688373
Massachusetts,1140614,20273,0.0,0.0,2022-01-01,0.01777376044831994
Michigan,1710325,29020,0.0,0.0,2022-01-01,0.01696753540993671
Minnesota,1022212,10656,0.0,0.0,2022-01-01,0.010424452070607663
Mississippi,543737,10450,0.0,0.0,2022-01-01,0.019218850289754053
Missouri,1013458,16227,0.0,0.0,2022-01-01,0.01601151700415804
Montana,197724,2906,0.0,0.0,2022-01-01,0.014697254759159232
Nebraska,338257,3338,0.0,0.0,2022-01-01,0.009868236281880346
Nevada,484641,8419,0.0,0.0,2022-01-01,0.017371621468262075
New Hampshire,198667,1961,0.0,0.0,2022-01-01,0.00987078880740133
New Jersey,1596644,29053,0.0,0.0,2022-01-01,0.018196291721886658
New Mexico,350043,5855,0.0,0.0,2022-01-01,0.016726516456549625
New York,3517696,59585,0.0,0.0,2022-01-01,0.01693864393057274
North Carolina,1686667,19426,0.0,0.0,2022-01-01,0.011517389028183986
North Dakota,174626,2057,0.0,0.0,2022-01-01,0.011779460103306496
Northern Mariana Islands,3287,14,0.0,0.0,2022-01-01,0.0042592029205962886
Ohio,2016095,31965,0.0,0.0,2022-01-01,0.015854907630840808
Oklahoma,708938,12419,0.0,0.0,2022-01-01,0.01751775190496207
Oregon,421263,5655,0.0,0.0,2022-01-01,0.013423918074931812
Pennsylvania,2059613,36714,0.0,0.0,2022-01-01,0.017825678901813108
Puerto Rico,272724,3308,0.0,0.0,2022-01-01,0.012129478887079978
Rhode Island,231096,3066,0.0,0.0,2022-01-01,0.013267213625506284
South Carolina,975320,14636,0.0,0.0,2022-01-01,0.015006356887995734
South Dakota,179204,2486,0.0,0.0,2022-01-01,0.013872458204057945
Tennessee,1445185,20787,0.0,0.0,2022-01-01,0.014383625625784935
Texas,4675575,75744,0.0,0.0,2022-01-01,0.016199932628607177
Utah,636992,3787,0.0,0.0,2022-01-01,0.005945129609163067
Vermont,64447,471,0.0,0.0,2022-01-01,0.007308330876534206
Virgin Islands,9648,89,0.0,0.0,2022-01-01,0.009224709784411277
Virginia,1118518,15587,0.0,0.0,2022-01-01,0.01393540381111435
Washington,849075,9853,0.0,0.0,2022-01-01,0.0116043930159291
West Virginia,328162,5336,0.0,0.0,2022-01-01,0.016260261700014017
Wisconsin,1120663,11173,0.0,0.0,2022-01-01,0.009969990978554659
Wyoming,115638,1526,0.0,0.0,2022-01-01,0.013196354139642678
Alabama,369458,4872,202137.0,0.0,2021-01-02,0.013186884571453318
Alaska,47821,215,7165.0,0.0,2021-01-02,0.0044959327492105974
American Samoa,0,0,0.0,0.0,2021-01-02,0.0
Arizona,539150,9061,77867.0,0.0,2021-01-02,0.016806083650190113
Arkansas,231442,3729,203701.0,0.0,2021-01-02,0.016112028067507195
California,2481999,26446,0.0,0.0,2021-01-02,0.0106551211342148
Colorado,339172,4912,18217.0,0.0,2021-01-02,0.014482327550623283
Connecticut,190120,6099,9800.0,0.0,2021-01-02,0.0320797391121397
Delaware,58873,1072,18851.0,0.0,2021-01-02,0.018208686494657993
Diamond Princess,49,0,0.0,0.0,2021-01-02,0.0
District of Columbia,29509,792,21002.0,0.0,2021-01-02,0.02683926937544478
Florida,1354833,21890,0.0,0.0,2021-01-02,0.01615697285200464
Georgia,685122,10960,0.0,0.0,2021-01-02,0.01599715087239937
Grand Princess,103,3,0.0,0.0,2021-01-02,0.02912621359223301
Guam,7326,122,7047.0,0.0,2021-01-02,0.016653016653016654
Hawaii,22448,289,11958.0,0.0,2021-01-02,0.012874198146828225
Idaho,142199,1448,58649.0,0.0,2021-01-02,0.01018291267871082
Illinois,975352,18217,0.0,0.0,2021-01-02,0.018677359558395328
Indiana,523090,9562,347401.0,0.0,2021-01-02,0.018279837121719017
Iowa,283895,3946,243214.0,0.0,2021-01-02,0.013899505098716075
Kansas,230119,2893,4612.0,0.0,2021-01-02,0.012571756352148236
Kentucky,273970,2698,37273.0,0.0,2021-01-02,0.009847793554038763
Louisiana,315275,7488,263712.0,0.0,2021-01-02,0.023750693838712235
Maine,25245,358,11438.0,0.0,2021-01-02,0.014181025945731828
Maryland,283171,5967,9374.0,0.0,2021-01-02,0.021072073058328714
Massachusetts,384181,12502,261672.0,0.0,2021-01-02,0.032541952881584464
Michigan,538121,13306,363611.0,0.0,2021-01-02,0.024726780779787447
Minnesota,417832,5436,398199.0,0.0,2021-01-02,0.013010013593980355
Mississippi,220277,4840,167263.0,0.0,2021-01-02,0.02197233483296032
Missouri,448387,5751,0.0,0.0,2021-01-02,0.012825973991217408
Montana,81944,971,75974.0,0.0,2021-01-02,0.011849555794200918
Nebraska,168262,1669,109705.0,0.0,2021-01-02,0.009919054807383722
Nevada,228871,3148,0.0,0.0,2021-01-02,0.013754473043767012
New Hampshire,46614,769,37947.0,0.0,2021-01-02,0.01649718968550221
New Jersey,541202,19187,56575.0,0.0,2021-01-02,0.035452566694136385
New Mexico,145379,2534,67573.0,0.0,2021-01-02,0.017430302863549758
New York,1011665,38093,103828.0,0.0,2021-01-02,0.037653768787098495
North Carolina,558437,6892,403488.0,0.0,2021-01-02,0.012341589113901836
North Dakota,92891,1317,89582.0,0.0,2021-01-02,0.014177907439902682
Northern Mariana Islands,122,2,29.0,0.0,2021-01-02,0.01639344262295082
Ohio,714673,13919,573641.0,0.0,2021-01-02,0.019476040091062626
Oklahoma,296343,2527,259841.0,0.0,2021-01-02,0.00852728088735013
Oregon,116348,1492,5870.0,0.0,2021-01-02,0.012823598171004228
Pennsylvania,664966,16273,453531.0,0.0,2021-01-02,0.024471927888042398
Puerto Rico,77932,1526,68340.0,0.0,2021-01-02,0.019581173330595905
Rhode Island,87949,1957,5381.0,0.0,2021-01-02,0.02225153213794358
South Carolina,312718,5385,152535.0,0.0,2021-01-02,0.017219987336833824
South Dakota,99829,1501,92595.0,0.0,2021-01-02,0.015035711065922728
Tennessee,599518,6970,523089.0,0.0,2021-01-02,0.01162600622500075
Texas,1824556,28442,1443061.0,0.0,2021-01-02,0.015588450011948113
Utah,281654,1294,230287.0,0.0,2021-01-02,0.004594289447336093
Vermont,7689,139,5188.0,0.0,2021-01-02,0.01807777344258031
Virgin Islands,2041,23,1901.0,0.0,2021-01-02,0.011268985791278784
Virginia,358755,5117,31182.0,0.0,2021-01-02,0.01426321584368162
Washington,246752,3461,0.0,0.0,2021-01-02,0.014026228764103229
