nc101_code	D2_01	D2_02	D2_03	W12_01	W12_02	W12_03	w20_01	w20_02	w20_03	w20_04	w20_05
NC101_00003	329	29	40	97	423	141	469	342	884	713	52
NC101_00004	30	2	6	7	83	34	76	45	131	127	65
NC101_00005	145	53	23	122	271	128	102	57	134	112	13
NC101_00006	510	80	54	156	717	193	489	228	536	487	57
NC101_00007	5	3	0	13	25	1	9	2	30	9	11
NC101_00008	14	4	2	8	65	14	208	82	302	241	14
NC101_00009	625	65	115	192	432	506	299	210	546	419	50
NC101_00010	245	44	30	77	324	159	64	151	155	151	23
NC101_00011	247	43	37	78	319	222	99	222	127	125	63
NC101_00012	180	44	37	48	154	151	35	65	74	67	36
NC101_00013	37	38	6	35	178	43	197	31	193	422	581
NC101_00014	54	17	5	39	202	56	247	64	177	523	971
NC101_00015	94	29	17	87	201	154	74	71	200	150	449
NC101_00016	32	7	9	17	221	35	74	42	118	95	292
NC101_00017	77	20	9	35	273	54	97	56	165	117	314
NC101_00018	0	1	0	2	35	2	4	2	20	16	40
NC101_00019	3	0	0	0	24	5	0	4	22	8	50
NC101_00020	8	2	0	4	58	8	11	11	28	20	123
NC101_00021	11	2	2	7	37	10	12	8	28	36	28
NC101_00022	18	0	4	8	61	13	12	7	47	18	42
NC101_00023	0	0	0	2	9	2	2	2	2	2	7
NC101_00024	0	1	2	11	19	4	5	9	7	7	8
NC101_00025	0	2	0	0	23	1	1	3	6	1	16
NC101_00026	7	4	0	2	18	3	11	2	10	4	16
NC101_00027	4	3	1	1	25	8	7	13	16	7	20
NC101_00028	3	0	0	0	13	0	3	1	11	5	17
NC101_00029	4	2	0	5	21	13	18	7	17	21	28
NC101_00030	13	5	1	2	16	10	16	4	12	18	2
NC101_00031	200	74	16	126	350	121	566	263	880	746	55
NC101_00032	21	4	8	10	61	31	77	28	117	83	20
NC101_00033	304	181	58	191	419	228	485	329	733	832	54
NC101_00034	30	5	3	27	93	48	77	32	104	96	29
NC101_00035	31	21	8	19	59	42	25	24	47	58	77
NC101_00036	16	3	4	13	124	23	193	75	201	175	105
NC101_00037	15	7	6	14	147	26	151	80	177	154	79
NC101_00038	37	4	5	27	149	44	136	59	146	132	51
NC101_00039	16	4	2	7	67	20	37	35	69	58	78
NC101_00040	20	8	0	4	63	16	58	44	108	95	64
NC101_00041	134	31	15	75	701	204	904	518	1181	1250	314
NC101_00042	13	12	2	13	140	28	176	101	195	207	75
NC101_00043	45	22	6	20	223	59	383	175	491	465	166
NC101_00044	11	3	0	6	49	11	103	43	172	144	61
NC101_00045	3	0	0	2	5	0	2	0	4	2	175
NC101_00046	58	22	2	38	173	73	221	129	275	286	320
NC101_00047	37	8	4	23	153	35	197	122	270	245	633
NC101_00048	18	7	6	26	90	46	92	55	164	163	501
NC101_00049	38	17	3	40	111	60	107	90	266	197	512
NC101_00050	8	0	0	7	29	11	18	18	62	50	194
NC101_00051	55	27	3	51	284	70	741	411	873	996	1182
NC101_00052	49	13	0	34	175	32	257	134	361	303	482
NC101_00053	399	134	44	111	1224	175	629	391	953	786	569
NC101_00054	30	10	4	30	150	41	99	49	187	125	368
NC101_00055	1	3	2	3	17	7	18	1	26	15	148
NC101_00056	79	23	6	38	261	43	244	172	441	319	612
NC101_00057	131	39	10	52	168	109	114	94	221	193	166
NC101_00058	117	23	22	30	121	57	96	49	142	139	44
NC101_00059	25	10	4	4	32	13	424	136	468	436	86
NC101_00060	87	46	25	87	146	96	371	194	492	453	398
NC101_00061	48	18	3	37	169	41	139	78	553	289	265
NC101_00062	166	38	21	23	89	61	508	184	478	541	637
NC101_00063	41	19	1	30	196	43	282	145	312	359	1376
NC101_00064	22	6	0	15	128	35	149	61	193	135	291
NC101_00065	21	10	1	16	94	22	109	34	125	106	319
NC101_00066	20	2	1	12	62	33	79	19	95	58	237
NC101_00067	54	11	9	19	161	47	218	121	359	319	228
NC101_00068	25	12	5	23	148	45	209	160	332	296	257
NC101_00069	49	22	13	22	138	50	258	135	358	297	146
NC101_00070	21	10	6	39	76	34	33	22	65	73	76
NC101_00071	14	7	3	19	51	35	26	7	72	44	14
NC101_00072	428	185	78	229	572	187	430	193	1083	701	38
NC101_00073	2	5	0	12	32	4	93	38	83	89	70
NC101_00074	26	10	5	22	171	44	210	131	412	378	93
NC101_00075	82	37	8	88	218	106	152	134	397	356	72
NC101_00076	97	28	12	66	500	90	496	329	789	578	71
NC101_00077	364	98	38	96	683	140	1380	611	1517	1328	176
NC101_00078	278	72	19	105	919	150	1423	776	1869	1660	236
NC101_00079	2544	504	215	295	672	516	1633	835	1861	1723	77
NC101_00080	16	4	4	4	54	23	62	30	85	106	36
NC101_00081	163	29	17	71	288	106	217	107	426	255	36
NC101_00082	25	7	1	23	90	44	122	66	240	164	13
NC101_00083	17	3	4	27	142	43	102	60	154	70	37
NC101_00084	923	233	180	408	1953	674	2023	1510	4044	2782	236
NC101_00085	20	4	3	21	101	23	122	43	202	132	108
NC101_00086	6	6	2	6	72	6	35	19	47	39	49
NC101_00087	20	1	4	7	28	25	30	18	31	32	27
NC101_00088	599	141	50	145	877	429	248	315	485	374	39
NC101_00089	388	59	34	105	839	289	254	338	552	456	56
NC101_00090	817	121	82	285	1490	699	622	702	1010	776	87
NC101_00091	49	13	2	36	171	50	481	391	804	1131	92
NC101_00092	31	14	3	25	86	41	99	68	163	173	72
NC101_00093	182	76	42	138	604	164	991	368	818	856	113
NC101_00094	9	2	0	4	42	8	37	15	53	46	37
NC101_00095	12	9	0	8	99	26	106	54	133	107	54
NC101_00096	17	6	4	16	80	23	87	64	138	129	12
NC101_00097	114	41	13	67	317	112	119	70	384	158	60
NC101_00098	69	23	4	48	217	108	268	121	443	344	27
NC101_00099	30	8	2	11	102	25	285	155	356	347	70
NC101_00100	9	10	0	2	78	26	235	115	295	235	29
NC101_00101	292	65	42	64	119	98	216	126	375	372	51
NC101_00102	92	71	32	50	94	49	373	191	837	631	138
NC101_00103	32	7	2	21	165	32	328	98	450	389	39
NC101_00104	9	6	1	3	39	10	73	32	144	112	18
NC101_00105	3	0	0	0	27	6	5	0	5	1	241
NC101_00106	2	0	0	2	5	1	0	3	4	5	129
