sample	cage	time	genotype	Tenericutes	Verrucomicrobia	Bacteroidetes	Actinobacteria	Firmicutes	Proteobacteria
F3@R8	Cage3_WT	PRE	WT	0	0	0.898381249	0	5.634252279	3.321975882
F3@R7	Cage2_WT	PRE	WT	0	0	0.675994702	0	5.636287929	1.892610201
F3@R9	Cage3_WT	PRE	WT	0	0.536839976	1.668276926	0.419650778	5.636278369	1.620176101
F3@R4	Cage2_WT	PRE	WT	0	0.245738953	0.40171659	0	5.635560606	2.905130562
F3@R3	Cage2_WT	PRE	WT	0	0	0.806726195	0	5.635766364	2.775163177
F3@R6	Cage2_WT	PRE	WT	0	0	0.411625051	0	5.636174807	2.28549848
F3@R5	Cage2_WT	PRE	WT	0	0	0.588464669	0	5.636277633	1.950459675
F3@R2	Cage1_WT	PRE	WT	0	0	0.829256017	2.569861154	5.63437615	3.205930893
F3@R1	Cage1_WT	PRE	WT	0	0.599755878	2.59325508	0.88662481	5.628977805	3.839175867
F8@R10	Cage6_WT	POST	WT	2.72305273	0.628342398	4.495282252	3.143578428	5.601669857	1.602000662
F9@R2	Cage6_WT	POST	WT	2.000451548	0.264785871	4.738298268	2.650276549	5.576937242	1.907342235
F9@R1	Cage6_WT	POST	WT	1.841484608	0.909934712	4.358162275	2.822981074	5.612019951	1.718626228
F1@R10	Cage4_10-/-	PRE	10-/-	0	0	3.624926952	0	5.587260264	4.623958739
F7@R1	Cage1_WT	POST	WT	0	2.187244595	5.145471097	2.467331122	5.466320211	1.278490302
F7@R2	Cage1_WT	POST	WT	0	0.809314713	4.105139899	2.548018356	5.622948782	1.887893275
F7@R4	Cage2_WT	POST	WT	1.059998448	1.97924534	4.90984795	2.140846004	5.545677953	1.939260898
F7@R3	Cage2_WT	POST	WT	0.983919442	3.443540211	5.321917654	2.905361229	5.341231734	1.645250413
F7@R6	Cage2_WT	POST	WT	1.417938415	3.772080517	5.230721296	2.551184664	5.408613691	2.416294924
F7@R5	Cage2_WT	POST	WT	0.977126601	3.249439274	5.048995603	2.186857763	5.50369491	1.874816282
F7@R8	Cage3_WT	POST	WT	2.102514798	3.55954218	4.793134871	2.534257655	5.564206894	1.859600991
F7@R7	Cage2_WT	POST	WT	1.490449718	3.715289824	5.305756029	2.580975109	5.351994167	2.284032382
F7@R9	Cage3_WT	POST	WT	2.382200956	3.766461866	4.906694961	2.615391371	5.538713541	1.151739776
F2@R10	Cage1_WT	PRE	WT	0.40035195	1.637388054	2.610921145	2.95800922	5.63007658	3.687508983
F5@R10	Cage3_10-/-	POST	10-/-	2.232860551	4.641867357	5.29302208	2.869942442	5.282404275	2.266688186
F2@R3	Cage4_10-/-	PRE	10-/-	0	0.429749418	1.209778741	0	5.617121955	4.272993475
F2@R2	Cage4_10-/-	PRE	10-/-	0	1.171919736	1.663078562	0	5.574991884	4.755823337
F4@R9	Cage6_WT	PRE	WT	0.268655837	1.052154819	2.209489722	0	5.635367858	2.916795187
F2@R5	Cage5_10-/-	PRE	10-/-	0	0.598001505	1.055752033	2.342909532	5.634802698	3.122821943
F4@R8	Cage5_WT	PRE	WT	0	0.313716723	0.925054319	0.313716723	5.598947251	4.553028962
F2@R4	Cage5_10-/-	PRE	10-/-	0.369392365	0.700950526	0.803716856	0	4.974829819	5.529562113
F2@R1	Cage4_10-/-	PRE	10-/-	0	0	3.514884961	0.229938449	5.632675496	2.596238168
F4@R3	Cage4_WT	PRE	WT	0	0.200139953	1.981526187	2.147138626	5.636107602	1.427450023
F4@R2	Cage4_WT	PRE	WT	0	1.655267115	3.05820467	2.955390786	5.550015836	4.880631661
F4@R1	Cage4_WT	PRE	WT	0	1.151985562	2.1513528	1.994873858	5.636038081	1.897854874
F2@R7	Cage5_10-/-	PRE	10-/-	0	0.46136438	1.153868001	0.46136438	5.29515534	5.372087968
F4@R7	Cage5_WT	PRE	WT	0	0	1.478343625	0.846182088	5.632653428	3.562723284
F2@R6	Cage5_10-/-	PRE	10-/-	0	0.451408326	0.667926624	0.919608798	5.550219531	4.891408814
F4@R6	Cage5_WT	PRE	WT	0	0	1.207718966	0.479683591	5.304872177	5.363777618
F4@R5	Cage5_WT	PRE	WT	0	0	0.523061067	2.087803117	5.633547897	3.428151989
F2@R9	Cage1_WT	PRE	WT	0	0	0.901104424	2.399139615	5.593407005	4.607633846
F2@R8	Cage5_10-/-	PRE	10-/-	1.930276776	4.428735649	5.238931165	2.761707709	5.363279238	3.082974213
F4@R4	Cage4_WT	PRE	WT	0	0	4.322697659	2.88330347	5.613288014	2.792927578
F7@R10	Cage3_WT	POST	WT	2.298474226	3.103515117	5.135878202	2.454010317	5.468919324	1.081792813
F5@R9	Cage3_10-/-	POST	10-/-	0.609276137	4.713698247	5.200612687	2.563451644	5.346132862	2.281385982
F5@R6	Cage2_10-/-	POST	10-/-	2.064790661	3.452418662	5.320555677	2.927585572	5.341015581	2.781331625
F5@R5	Cage1_10-/-	POST	10-/-	1.399159757	4.375487049	4.520297353	2.249236596	5.574783774	2.197162069
F4@R10	Cage6_WT	PRE	WT	0	0.272868027	0.902840118	1.987606971	5.633760083	3.39613185
F5@R8	Cage2_10-/-	POST	10-/-	0	4.551093673	5.106919991	2.425893795	5.428857482	2.837074745
F5@R7	Cage2_10-/-	POST	10-/-	0.938015491	2.7766838	5.165638096	2.654146795	5.455006792	2.462249146
